"Date (TU),""Valeur (en m³/s)"",""Statut"",""Qualification"",""Méthode"",""Continuité"""
"2014-07-20T00:00:00.000Z,""1620"",""4"",16,8,0"
"2014-07-21T00:00:00.000Z,""1900"",""4"",16,8,0"
"2014-07-22T00:00:00.000Z,""2130"",""4"",16,8,0"
"2014-07-23T00:00:00.000Z,""3030"",""4"",16,8,0"
"2014-07-24T00:00:00.000Z,""2710"",""4"",16,8,0"
"2014-07-25T00:00:00.000Z,""2330"",""4"",16,8,0"
"2014-07-26T00:00:00.000Z,""2130"",""4"",16,8,0"
"2014-07-27T00:00:00.000Z,""2140"",""4"",16,8,0"
"2014-07-28T00:00:00.000Z,""2430"",""4"",16,8,0"
"2014-07-29T00:00:00.000Z,""2440"",""4"",16,8,0"
"2014-07-30T00:00:00.000Z,""2590"",""4"",16,8,0"
"2014-07-31T00:00:00.000Z,""2640"",""4"",16,8,0"
"2014-08-01T00:00:00.000Z,""2710"",""4"",16,8,0"
"2014-08-02T00:00:00.000Z,""2520"",""4"",16,8,0"
"2014-08-03T00:00:00.000Z,""2360"",""4"",16,8,0"
"2014-08-04T00:00:00.000Z,""2300"",""4"",16,8,0"
"2014-08-05T00:00:00.000Z,""2270"",""4"",16,8,0"
"2014-08-06T00:00:00.000Z,""2210"",""4"",16,8,0"
"2014-08-07T00:00:00.000Z,""2130"",""4"",16,8,0"
"2014-08-08T00:00:00.000Z,""2060"",""4"",16,8,0"
"2014-08-09T00:00:00.000Z,""1910"",""4"",16,8,0"
"2014-08-10T00:00:00.000Z,""1840"",""4"",16,8,0"
"2014-08-11T00:00:00.000Z,""1800"",""4"",16,8,0"
"2014-08-12T00:00:00.000Z,""2320"",""4"",16,8,0"
"2014-08-13T00:00:00.000Z,""2050"",""4"",16,8,0"
"2014-08-14T00:00:00.000Z,""1900"",""4"",16,8,0"
"2014-08-15T00:00:00.000Z,""1870"",""4"",16,8,0"
"2014-08-16T00:00:00.000Z,""1970"",""4"",16,8,0"
"2014-08-17T00:00:00.000Z,""1970"",""4"",16,8,0"
